dataset,region,category,met,n,weight_nominal:sumw,weight_nominal:sumw2
DYJetsToLL_M-50_HT-100to200,6,3.01,"[-inf, 200.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[200.0, 300.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[300.0, 400.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[400.0, 500.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[500.0, 600.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[600.0, 700.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[700.0, 800.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[800.0, 900.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[900.0, 1000.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1000.0, 1100.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1100.0, 1200.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1200.0, 1300.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1300.0, 1400.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1400.0, 1500.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1500.0, 1600.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1600.0, 1700.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1700.0, 1800.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1800.0, 1900.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1900.0, 2000.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[2000.0, inf)",0,,
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[-inf, 200.0)",0,,
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[200.0, 300.0)",144,1.0678529082212485,0.00861834046847471
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[300.0, 400.0)",80,0.5369692931482177,0.003961534706626449
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[400.0, 500.0)",46,0.30076873278885974,0.0022082128349482167
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[500.0, 600.0)",27,0.1476556509075197,0.0008990922739633329
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[600.0, 700.0)",24,0.11719724490790788,0.0006333629210407032
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[700.0, 800.0)",8,0.034463920337497934,0.00017841932769329484
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[800.0, 900.0)",9,0.039466258197812965,0.00019742087955238136
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[900.0, 1000.0)",8,0.03410728999663116,0.00014760430373245243
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[1000.0, 1100.0)",10,0.040964101089404896,0.00017591048243523403
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[1100.0, 1200.0)",3,0.013267656583966347,5.869845861856761e-05
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[1200.0, 1300.0)",4,0.01710354031257191,7.44819541020524e-05
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[1300.0, 1400.0)",2,0.006620067433067378,2.5623519746082783e-05
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[1400.0, 1500.0)",0,,
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[1500.0, 1600.0)",0,,
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[1600.0, 1700.0)",0,,
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[1700.0, 1800.0)",0,,
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[1800.0, 1900.0)",0,,
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[1900.0, 2000.0)",0,,
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[2000.0, inf)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[-inf, 200.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[200.0, 300.0)",656,118.46784235128584,22.620574831124745
DYJetsToLL_M-50_HT-200to400,6,3.01,"[300.0, 400.0)",64,10.29412505213392,1.7875922994088531
DYJetsToLL_M-50_HT-200to400,6,3.01,"[400.0, 500.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[500.0, 600.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[600.0, 700.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[700.0, 800.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[800.0, 900.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[900.0, 1000.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[1000.0, 1100.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[1100.0, 1200.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[1200.0, 1300.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[1300.0, 1400.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[1400.0, 1500.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[1500.0, 1600.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[1600.0, 1700.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[1700.0, 1800.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[1800.0, 1900.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[1900.0, 2000.0)",0,,
DYJetsToLL_M-50_HT-200to400,6,3.01,"[2000.0, inf)",0,,
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[-inf, 200.0)",0,,
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[200.0, 300.0)",217,0.05715012194159703,1.6194680235437122e-05
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[300.0, 400.0)",118,0.03012123623897011,8.296653190834415e-06
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[400.0, 500.0)",68,0.016354732197049963,4.222444419882626e-06
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[500.0, 600.0)",33,0.007058629959675458,1.6997035507126924e-06
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[600.0, 700.0)",21,0.00447812960873267,1.017969997433076e-06
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[700.0, 800.0)",21,0.00399224239033287,8.433988793967382e-07
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[800.0, 900.0)",10,0.0017685951446939619,3.647539109350588e-07
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[900.0, 1000.0)",8,0.001705024749259998,3.918255534189788e-07
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[1000.0, 1100.0)",14,0.0023270667722406413,3.956020649676617e-07
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[1100.0, 1200.0)",4,0.0007714273136603554,1.6016009216811933e-07
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[1200.0, 1300.0)",7,0.0009694319708855798,1.5300023459577392e-07
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[1300.0, 1400.0)",0,,
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[1400.0, 1500.0)",2,0.00029006407040842007,4.2267323931962444e-08
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[1500.0, 1600.0)",2,0.00035680928106965126,6.406683885328721e-08
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[1600.0, 1700.0)",2,0.00032287366463759756,5.212443360726703e-08
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[1700.0, 1800.0)",2,0.00030861357833532354,4.7709516243807674e-08
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[1800.0, 1900.0)",0,,
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[1900.0, 2000.0)",0,,
DYJetsToLL_M-50_HT-2500toInf,6,3.01,"[2000.0, inf)",2,0.0003054435055451281,4.6849816891651923e-08
DYJetsToLL_M-50_HT-400to600,6,3.01,"[-inf, 200.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[200.0, 300.0)",1873,43.30587128096982,1.085635077241225
DYJetsToLL_M-50_HT-400to600,6,3.01,"[300.0, 400.0)",996,19.687008271139863,0.4209470537828302
DYJetsToLL_M-50_HT-400to600,6,3.01,"[400.0, 500.0)",241,4.010630553329827,0.0736101863074613
DYJetsToLL_M-50_HT-400to600,6,3.01,"[500.0, 600.0)",28,0.43162973982992947,0.007508237266117572
DYJetsToLL_M-50_HT-400to600,6,3.01,"[600.0, 700.0)",1,0.018117858252727805,0.000328256787665937
DYJetsToLL_M-50_HT-400to600,6,3.01,"[700.0, 800.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[800.0, 900.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[900.0, 1000.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[1000.0, 1100.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[1100.0, 1200.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[1200.0, 1300.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[1300.0, 1400.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[1400.0, 1500.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[1500.0, 1600.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[1600.0, 1700.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[1700.0, 1800.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[1800.0, 1900.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[1900.0, 2000.0)",0,,
DYJetsToLL_M-50_HT-400to600,6,3.01,"[2000.0, inf)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[-inf, 200.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[200.0, 300.0)",1545,8.509070154607972,0.051180055234145476
DYJetsToLL_M-50_HT-600to800,6,3.01,"[300.0, 400.0)",914,4.161162733434764,0.021222757008243442
DYJetsToLL_M-50_HT-600to800,6,3.01,"[400.0, 500.0)",533,2.35464943223677,0.011298535255659421
DYJetsToLL_M-50_HT-600to800,6,3.01,"[500.0, 600.0)",270,1.1089275507704075,0.004852217737353377
DYJetsToLL_M-50_HT-600to800,6,3.01,"[600.0, 700.0)",95,0.3588311469528374,0.0014501277316499614
DYJetsToLL_M-50_HT-600to800,6,3.01,"[700.0, 800.0)",11,0.03680169783516335,0.00013991654744357487
DYJetsToLL_M-50_HT-600to800,6,3.01,"[800.0, 900.0)",1,0.004065638738633167,1.6529418353074687e-05
DYJetsToLL_M-50_HT-600to800,6,3.01,"[900.0, 1000.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[1000.0, 1100.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[1100.0, 1200.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[1200.0, 1300.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[1300.0, 1400.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[1400.0, 1500.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[1500.0, 1600.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[1600.0, 1700.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[1700.0, 1800.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[1800.0, 1900.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[1900.0, 2000.0)",0,,
DYJetsToLL_M-50_HT-600to800,6,3.01,"[2000.0, inf)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[-inf, 200.0)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[200.0, 300.0)",497,3.6033026467111933,0.028568149341676688
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[300.0, 400.0)",337,2.0946397254016493,0.01439459473830597
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[400.0, 500.0)",190,1.0622808102944976,0.0064879615541225235
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[500.0, 600.0)",124,0.6236970280315332,0.0033978895415259017
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[600.0, 700.0)",74,0.3484428075702538,0.001831424982453586
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[700.0, 800.0)",48,0.2083540416480133,0.0010283103880797803
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[800.0, 900.0)",21,0.08984682444825233,0.00040639265353196584
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[900.0, 1000.0)",16,0.07080333984539397,0.00031438069100840534
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[1000.0, 1100.0)",2,0.005986887607172032,2.024669212342379e-05
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[1100.0, 1200.0)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[1200.0, 1300.0)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[1300.0, 1400.0)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[1400.0, 1500.0)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[1500.0, 1600.0)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[1600.0, 1700.0)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[1700.0, 1800.0)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[1800.0, 1900.0)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[1900.0, 2000.0)",0,,
DYJetsToLL_M-50_HT-800to1200,6,3.01,"[2000.0, inf)",0,,
EWKWMinus2Jets,6,3.01,"[-inf, 200.0)",0,,
EWKWMinus2Jets,6,3.01,"[200.0, 300.0)",306,48.82994271518874,8.196254745477566
EWKWMinus2Jets,6,3.01,"[300.0, 400.0)",101,15.39869329531089,2.543842250482451
EWKWMinus2Jets,6,3.01,"[400.0, 500.0)",31,4.65747499719368,0.7843966171186091
EWKWMinus2Jets,6,3.01,"[500.0, 600.0)",16,2.3790387691788664,0.39215479084485017
EWKWMinus2Jets,6,3.01,"[600.0, 700.0)",6,1.0769240604361936,0.1945223205020787
EWKWMinus2Jets,6,3.01,"[700.0, 800.0)",1,0.16978291723275032,0.028826238984062943
EWKWMinus2Jets,6,3.01,"[800.0, 900.0)",1,0.16834741436349684,0.02834085192287489
EWKWMinus2Jets,6,3.01,"[900.0, 1000.0)",0,,
EWKWMinus2Jets,6,3.01,"[1000.0, 1100.0)",0,,
EWKWMinus2Jets,6,3.01,"[1100.0, 1200.0)",0,,
EWKWMinus2Jets,6,3.01,"[1200.0, 1300.0)",0,,
EWKWMinus2Jets,6,3.01,"[1300.0, 1400.0)",0,,
EWKWMinus2Jets,6,3.01,"[1400.0, 1500.0)",0,,
EWKWMinus2Jets,6,3.01,"[1500.0, 1600.0)",0,,
EWKWMinus2Jets,6,3.01,"[1600.0, 1700.0)",0,,
EWKWMinus2Jets,6,3.01,"[1700.0, 1800.0)",0,,
EWKWMinus2Jets,6,3.01,"[1800.0, 1900.0)",0,,
EWKWMinus2Jets,6,3.01,"[1900.0, 2000.0)",0,,
EWKWMinus2Jets,6,3.01,"[2000.0, inf)",0,,
EWKWPlus2Jets,6,3.01,"[-inf, 200.0)",0,,
EWKWPlus2Jets,6,3.01,"[200.0, 300.0)",544,100.43694165394074,19.842590193654203
EWKWPlus2Jets,6,3.01,"[300.0, 400.0)",207,38.00680466138624,7.578374672261707
EWKWPlus2Jets,6,3.01,"[400.0, 500.0)",75,13.008048400592727,2.5430632976004564
EWKWPlus2Jets,6,3.01,"[500.0, 600.0)",33,5.642770964552313,1.078635620634246
EWKWPlus2Jets,6,3.01,"[600.0, 700.0)",9,1.8213900854646987,0.3692319439463994
EWKWPlus2Jets,6,3.01,"[700.0, 800.0)",4,0.6160187318010424,0.10409891646028883
EWKWPlus2Jets,6,3.01,"[800.0, 900.0)",3,0.5262380932247793,0.10689624349875786
EWKWPlus2Jets,6,3.01,"[900.0, 1000.0)",1,0.24136213486541208,0.05825568014678938
EWKWPlus2Jets,6,3.01,"[1000.0, 1100.0)",3,0.5009296042305903,0.10166716150980372
EWKWPlus2Jets,6,3.01,"[1100.0, 1200.0)",0,,
EWKWPlus2Jets,6,3.01,"[1200.0, 1300.0)",1,0.22109266814605993,0.04888196790794377
EWKWPlus2Jets,6,3.01,"[1300.0, 1400.0)",1,0.057810173472996454,0.0033420161569779434
EWKWPlus2Jets,6,3.01,"[1400.0, 1500.0)",0,,
EWKWPlus2Jets,6,3.01,"[1500.0, 1600.0)",0,,
EWKWPlus2Jets,6,3.01,"[1600.0, 1700.0)",0,,
EWKWPlus2Jets,6,3.01,"[1700.0, 1800.0)",0,,
EWKWPlus2Jets,6,3.01,"[1800.0, 1900.0)",0,,
EWKWPlus2Jets,6,3.01,"[1900.0, 2000.0)",0,,
EWKWPlus2Jets,6,3.01,"[2000.0, inf)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[-inf, 200.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[200.0, 300.0)",21,3.0900437998844232,0.4766720289764604
EWKZ2Jets_ZToLL,6,3.01,"[300.0, 400.0)",5,0.6012676307085781,0.08396092341857213
EWKZ2Jets_ZToLL,6,3.01,"[400.0, 500.0)",4,0.6053877712247878,0.09447230917502342
EWKZ2Jets_ZToLL,6,3.01,"[500.0, 600.0)",3,0.49700260247254735,0.08239761390042102
EWKZ2Jets_ZToLL,6,3.01,"[600.0, 700.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[700.0, 800.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[800.0, 900.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[900.0, 1000.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[1000.0, 1100.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[1100.0, 1200.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[1200.0, 1300.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[1300.0, 1400.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[1400.0, 1500.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[1500.0, 1600.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[1600.0, 1700.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[1700.0, 1800.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[1800.0, 1900.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[1900.0, 2000.0)",0,,
EWKZ2Jets_ZToLL,6,3.01,"[2000.0, inf)",0,,
EWKZ2Jets_ZToNuNu,6,3.01,"[-inf, 200.0)",0,,
EWKZ2Jets_ZToNuNu,6,3.01,"[200.0, 300.0)",1175,140.7201941586381,18.018762456571192
EWKZ2Jets_ZToNuNu,6,3.01,"[300.0, 400.0)",413,49.55351770223792,6.314451111254294
EWKZ2Jets_ZToNuNu,6,3.01,"[400.0, 500.0)",156,18.07043231980198,2.2665543554259173
EWKZ2Jets_ZToNuNu,6,3.01,"[500.0, 600.0)",77,9.614128837469503,1.2477698899471497
EWKZ2Jets_ZToNuNu,6,3.01,"[600.0, 700.0)",22,2.677241756972076,0.35228152860438383
EWKZ2Jets_ZToNuNu,6,3.01,"[700.0, 800.0)",5,0.6484596360884973,0.08435415997172344
EWKZ2Jets_ZToNuNu,6,3.01,"[800.0, 900.0)",7,0.8956290632203711,0.11465956837250071
EWKZ2Jets_ZToNuNu,6,3.01,"[900.0, 1000.0)",4,0.5170355923015251,0.0668526976280513
EWKZ2Jets_ZToNuNu,6,3.01,"[1000.0, 1100.0)",2,0.2629800223883604,0.03460039498049816
EWKZ2Jets_ZToNuNu,6,3.01,"[1100.0, 1200.0)",2,0.25570136685260425,0.03271968859338413
EWKZ2Jets_ZToNuNu,6,3.01,"[1200.0, 1300.0)",1,0.12584782296774358,0.01583767454572053
EWKZ2Jets_ZToNuNu,6,3.01,"[1300.0, 1400.0)",1,0.12794788966594026,0.01637066246996761
EWKZ2Jets_ZToNuNu,6,3.01,"[1400.0, 1500.0)",0,,
EWKZ2Jets_ZToNuNu,6,3.01,"[1500.0, 1600.0)",0,,
EWKZ2Jets_ZToNuNu,6,3.01,"[1600.0, 1700.0)",1,0.13094978769168078,0.017147846896496274
EWKZ2Jets_ZToNuNu,6,3.01,"[1700.0, 1800.0)",0,,
EWKZ2Jets_ZToNuNu,6,3.01,"[1800.0, 1900.0)",0,,
EWKZ2Jets_ZToNuNu,6,3.01,"[1900.0, 2000.0)",0,,
EWKZ2Jets_ZToNuNu,6,3.01,"[2000.0, inf)",0,,
G1Jet_Pt-100To250,6,3.01,"[-inf, 200.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[200.0, 300.0)",283,218.8924673086069,298.88208993137823
G1Jet_Pt-100To250,6,3.01,"[300.0, 400.0)",16,15.634927266851255,16.395475922576722
G1Jet_Pt-100To250,6,3.01,"[400.0, 500.0)",2,2.1787199739402823,2.3735034980991663
G1Jet_Pt-100To250,6,3.01,"[500.0, 600.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[600.0, 700.0)",1,1.0518422833332288,1.10637218900766
G1Jet_Pt-100To250,6,3.01,"[700.0, 800.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[800.0, 900.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[900.0, 1000.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[1000.0, 1100.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[1100.0, 1200.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[1200.0, 1300.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[1300.0, 1400.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[1400.0, 1500.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[1500.0, 1600.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[1600.0, 1700.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[1700.0, 1800.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[1800.0, 1900.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[1900.0, 2000.0)",0,,
G1Jet_Pt-100To250,6,3.01,"[2000.0, inf)",0,,
G1Jet_Pt-250To400,6,3.01,"[-inf, 200.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[200.0, 300.0)",1749,107.74731234344092,20.7727496070377
G1Jet_Pt-250To400,6,3.01,"[300.0, 400.0)",681,48.20805587952317,8.17570738168891
G1Jet_Pt-250To400,6,3.01,"[400.0, 500.0)",52,4.6956280616487405,0.608010166732507
G1Jet_Pt-250To400,6,3.01,"[500.0, 600.0)",1,0.11410464279027431,0.013019869506296102
G1Jet_Pt-250To400,6,3.01,"[600.0, 700.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[700.0, 800.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[800.0, 900.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[900.0, 1000.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[1000.0, 1100.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[1100.0, 1200.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[1200.0, 1300.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[1300.0, 1400.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[1400.0, 1500.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[1500.0, 1600.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[1600.0, 1700.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[1700.0, 1800.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[1800.0, 1900.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[1900.0, 2000.0)",0,,
G1Jet_Pt-250To400,6,3.01,"[2000.0, inf)",0,,
G1Jet_Pt-400To650,6,3.01,"[-inf, 200.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[200.0, 300.0)",116,4.802707643407228,1.2682445650397967
G1Jet_Pt-400To650,6,3.01,"[300.0, 400.0)",449,25.73453762774611,5.100861630142631
G1Jet_Pt-400To650,6,3.01,"[400.0, 500.0)",391,27.718620967610686,4.359956699906145
G1Jet_Pt-400To650,6,3.01,"[500.0, 600.0)",166,12.338493258873145,1.7434781492262115
G1Jet_Pt-400To650,6,3.01,"[600.0, 700.0)",31,1.975721856871174,0.31921174795738483
G1Jet_Pt-400To650,6,3.01,"[700.0, 800.0)",4,0.46217129613212654,0.05356389090835925
G1Jet_Pt-400To650,6,3.01,"[800.0, 900.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[900.0, 1000.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[1000.0, 1100.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[1100.0, 1200.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[1200.0, 1300.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[1300.0, 1400.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[1400.0, 1500.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[1500.0, 1600.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[1600.0, 1700.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[1700.0, 1800.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[1800.0, 1900.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[1900.0, 2000.0)",0,,
G1Jet_Pt-400To650,6,3.01,"[2000.0, inf)",0,,
G1Jet_Pt-50To100,6,3.01,"[-inf, 200.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[200.0, 300.0)",9,93.30595339780453,1054.5066195641748
G1Jet_Pt-50To100,6,3.01,"[300.0, 400.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[400.0, 500.0)",1,11.177646499406002,124.93978126568325
G1Jet_Pt-50To100,6,3.01,"[500.0, 600.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[600.0, 700.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[700.0, 800.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[800.0, 900.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[900.0, 1000.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[1000.0, 1100.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[1100.0, 1200.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[1200.0, 1300.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[1300.0, 1400.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[1400.0, 1500.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[1500.0, 1600.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[1600.0, 1700.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[1700.0, 1800.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[1800.0, 1900.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[1900.0, 2000.0)",0,,
G1Jet_Pt-50To100,6,3.01,"[2000.0, inf)",0,,
G1Jet_Pt-650ToInf,6,3.01,"[-inf, 200.0)",0,,
G1Jet_Pt-650ToInf,6,3.01,"[200.0, 300.0)",106,0.7213105426665906,0.009741285887194896
G1Jet_Pt-650ToInf,6,3.01,"[300.0, 400.0)",55,0.32350934780961477,0.00510279787203167
G1Jet_Pt-650ToInf,6,3.01,"[400.0, 500.0)",97,0.36334469127429153,0.008641120660329949
