dataset,photon_pt,photon_sieie,n,weight_nominal:sumw,weight_nominal:sumw2
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.0, 0.001)",11,-2.7713487016367837e-05,8.6798862645589131e-09
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.001, 0.002)",16,0.00034500224550322101,1.4054869900537863e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.002, 0.003)",26,0.00040695385928195775,2.1110483621403487e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.003, 0.004)",41,0.00062285926781898739,3.0244542762801526e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.004, 0.005)",46,0.00066105702915563922,3.7233201821668898e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.005, 0.006)",78,0.0014335317521014272,6.4529816493201547e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.006, 0.007)",235,0.0039987109146233692,1.9130660999156982e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.007, 0.008)",3500,0.054149178647613441,2.8314645399404926e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.008, 0.009000000000000001)",62450,1.0120719494218735,5.0763763096051255e-05
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.009000000000000001, 0.01)",126935,2.0332500156810323,0.00010281445722421142
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.01, 0.011)",3859,0.060848424847174454,3.1358439979571819e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.011, 0.012)",119,0.0018850998001624095,9.6237018687621971e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.012, 0.013000000000000001)",20,0.00032406680608645412,1.539698361771492e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.013000000000000001, 0.014)",3,4.627108094857604e-05,1.7754570386825464e-09
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.014, 0.015)",3,-3.0303602830363723e-05,9.1830834450042828e-10
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.015, 0.016)",1,2.2903113169119808e-05,5.2455259283750916e-10
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.016, 0.017)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.017, 0.018000000000000002)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.018000000000000002, 0.019)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.019, 0.02)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.0, 0.001)",10,0.00014443548860758923,8.1364273055527474e-09
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.001, 0.002)",15,-3.4951388156751612e-05,1.2553756271614653e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.002, 0.003)",21,0.0003840334664462295,1.7528217182322849e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.003, 0.004)",23,0.00027666622319757442,2.0392700698235311e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.004, 0.005)",38,0.00016408314065657626,2.7367580375279018e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.005, 0.006)",60,0.00041043821794886664,4.7858019491562667e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.006, 0.007)",175,0.0019784103304053072,1.4128488949250752e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.007, 0.008)",2168,0.021892329121165944,1.7685618933839844e-06
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.008, 0.009000000000000001)",47755,0.44432965006721958,3.8652398706239989e-05
