dataset,photon_pt,photon_sieie,n,weight_nominal:sumw,weight_nominal:sumw2
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.0, 0.001)",14,0.00034031564708271141,9.9726818457176526e-09
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.001, 0.002)",5,6.6759793056090215e-05,3.7418147212009247e-09
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.002, 0.003)",2,5.7645493663490777e-05,1.6724334045471184e-09
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.003, 0.004)",6,0.00012324413718830325,5.9377164752583303e-09
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.004, 0.005)",11,0.00018234383723726282,9.3154661728900396e-09
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.005, 0.006)",18,0.00029179777366028742,1.2123800713495525e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.006, 0.007)",61,0.0010465147732529011,4.8531926566868333e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.007, 0.008)",704,0.011171670293152159,5.4981228045400583e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.008, 0.009000000000000001)",12352,0.21164012997760723,9.9145286556259827e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.009000000000000001, 0.01)",24484,0.42915683338838262,1.9501512588083265e-05
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.01, 0.011)",958,0.015985284118414808,7.7002696136039273e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.011, 0.012)",91,0.0020400904196304125,6.9095068964549206e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.012, 0.013000000000000001)",81,0.001447896144148094,5.918900482842586e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.013000000000000001, 0.014)",91,0.0015888472145742663,6.8724560633389593e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.014, 0.015)",65,0.0013487790433050586,4.6564837446557919e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.015, 0.016)",52,0.0010362720511646001,3.6139083962924803e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.016, 0.017)",38,0.00074786567950627558,2.884133872952207e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.017, 0.018000000000000002)",14,0.00025018028375180842,1.0642582400688572e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.018000000000000002, 0.019)",5,0.00014405927535742543,4.2433167196250581e-09
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.019, 0.02)",4,5.9337671279164868e-05,3.7621014285854902e-09
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.0, 0.001)",14,0.00027401891379686023,1.1454196108568924e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.001, 0.002)",1,3.087419324268294e-06,9.5321580838652882e-12
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.002, 0.003)",8,-3.954857458592705e-05,6.3802917163828392e-09
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.003, 0.004)",8,2.0732419484816543e-05,6.2815232899527887e-09
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.004, 0.005)",7,7.7365832200999764e-05,6.0851830405018167e-09
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.005, 0.006)",11,-6.1881960670994753e-05,9.6978607708845019e-09
