dataset,photon_pt,photon_sieie,n,weight_nominal:sumw,weight_nominal:sumw2
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.0, 0.001)",1,-0.00016414735107762174,2.6944352865800007e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.001, 0.002)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.002, 0.003)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.003, 0.004)",2,-0.00029186206496188694,4.2818043676335483e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.004, 0.005)",3,0.00018526761864054095,6.3261356935318524e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.005, 0.006)",3,0.00037733746530044677,4.8910025671207295e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.006, 0.007)",14,0.0014627103003642594,2.5097123239643138e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.007, 0.008)",111,0.01106606911310596,2.2179090186092321e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.008, 0.009000000000000001)",2413,0.21540258465136225,4.653040788975776e-05
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.009000000000000001, 0.01)",5296,0.47865909104028453,0.00010110925858203705
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.01, 0.011)",160,0.01485050125160127,3.1441399021637846e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.011, 0.012)",14,0.00075310474971742019,2.8670084082157619e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.012, 0.013000000000000001)",9,0.00059088154682339421,1.2595634486579491e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.013000000000000001, 0.014)",8,0.00070097841580814822,8.8632973827345074e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.014, 0.015)",8,0.00097809324356892737,1.4109973444129715e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.015, 0.016)",3,0.00036592486374980443,4.5385587606181555e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.016, 0.017)",4,0.00041453301493150332,5.9483696864774933e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.017, 0.018000000000000002)",2,2.6460567750978894e-05,3.9560467936404894e-10
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.018000000000000002, 0.019)",2,0.00011537002139310479,1.1429822103456925e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.019, 0.02)",2,-5.6993768013007332e-05,4.1386514528798483e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.0, 0.001)",1,0.00015999172340037254,2.5597351556621316e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.001, 0.002)",1,0.0001197539942016752,1.4341019127254857e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.002, 0.003)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.003, 0.004)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.004, 0.005)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.005, 0.006)",1,0.00015638501167166904,2.4456271875548064e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.006, 0.007)",5,7.6425970176658195e-05,7.7386168424211335e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.007, 0.008)",59,0.0015743405850661826,1.1227961789794661e-06
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.008, 0.009000000000000001)",1411,0.08050018517685896,2.6468057920447357e-05
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.009000000000000001, 0.01)",3109,0.20176145484924235,5.8338972117554331e-05
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.01, 0.011)",98,0.0079343079247750394,1.9489534753606016e-06
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.011, 0.012)",24,0.0027220963529885466,3.9613644375524101e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.012, 0.013000000000000001)",13,0.0017430760884277036,2.3899881187601051e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.013000000000000001, 0.014)",18,0.0019957823220569473,3.881914326560196e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.014, 0.015)",13,0.0012647335282699613,2.3259875755065566e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.015, 0.016)",7,0.00089504146200178206,1.5087064970832765e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.016, 0.017)",4,0.00038801270048216519,4.9200532791137344e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.017, 0.018000000000000002)",2,4.5661957001697298e-05,3.1549454277229271e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.018000000000000002, 0.019)",1,0.00013225751740912964,1.7492050911226231e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.019, 0.02)",1,0.00015875740702948025,2.5203914286724068e-08
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.0, 0.001)",0,,
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.001, 0.002)",0,,
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.002, 0.003)",0,,
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.003, 0.004)",0,,
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.004, 0.005)",0,,
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.005, 0.006)",1,0.00011403431748531132,1.3003825564340777e-08
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.006, 0.007)",1,0.00014163706988898177,2.0061059566736304e-08
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.007, 0.008)",6,0.00048342019242688435,1.2311209826157966e-07
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.008, 0.009000000000000001)",166,0.010051119447008941,3.038315168589079e-06
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.009000000000000001, 0.01)",446,0.027802451928530151,8.3434868362847555e-06
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.01, 0.011)",16,0.0020122600021318725,3.5297608062639764e-07
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.011, 0.012)",11,0.0015811397308048776,2.3407970290232167e-07
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.012, 0.013000000000000001)",8,0.00081098824233836499,1.0837950304056347e-07
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.013000000000000001, 0.014)",5,0.00065562022142646136,9.0632642948404831e-08
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.014, 0.015)",8,0.00075471473625485003,1.5856994090612622e-07
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.015, 0.016)",4,0.00058407821468352446,9.262553739827243e-08
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.016, 0.017)",4,0.00058031510455636582,8.6572406286880245e-08
G1Jet_Pt-100To250,"[300.0, 400.0)","[0.017, 0.018000000000000002)",1,1.5638665249232114e-05,2.4456785077754011e-10
