dataset,photon_pt,photon_sieie,n,weight_nominal:sumw,weight_nominal:sumw2
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.0, 0.001)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.001, 0.002)",1,0.00016751045515162565,2.8059752585104785e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.002, 0.003)",4,0.00032884820083635934,7.6903256096357832e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.003, 0.004)",7,0.00082067843758625372,1.6103895796807244e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.004, 0.005)",8,0.00096264746645517967,2.1728983143874483e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.005, 0.006)",17,0.0019262447828792637,3.6689137181078944e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.006, 0.007)",35,0.0033870141848922871,7.5263056187186616e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.007, 0.008)",514,0.042413651058738039,1.0085314578690675e-05
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.008, 0.009000000000000001)",11346,0.99029351638399177,0.00022412668640404634
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.009000000000000001, 0.01)",24624,2.1144035959231506,0.00048789858664882328
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.01, 0.011)",459,0.035741128775405674,9.1171966968382751e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.011, 0.012)",6,0.00073010048257535209,9.2622622412650841e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.012, 0.013000000000000001)",2,0.00016463138548993629,2.6359999722169377e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.013000000000000001, 0.014)",3,0.00047517820572572957,7.6409687636841361e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.014, 0.015)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.015, 0.016)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.016, 0.017)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.017, 0.018000000000000002)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.018000000000000002, 0.019)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.019, 0.02)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.0, 0.001)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.001, 0.002)",1,-0.00015975360924212929,2.5521215665886937e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.002, 0.003)",4,-4.6773800928894774e-05,3.4949665724793144e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.003, 0.004)",2,0.00021506012210141881,2.3156992658271117e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.004, 0.005)",6,0.00054775493421107321,1.101504697264962e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.005, 0.006)",6,-0.00024475132837895562,1.0449993880622441e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.006, 0.007)",21,7.3503987317465568e-05,4.1409786270424237e-07
